tarih,firma,ulke,hat,asama,tedarikci,kapasite,tutar,baslik,kaynak,url,puan,tarih_kaynagi
2026-08-31,Integrated Cold Rolling Complex,Tanzanya,Soguk hadde,Sozlesme,John Cockerill,,,John Cockerill Signs Contract with A1 Iron & Steel for Integrated Cold Rolling Complex in Tanzania,johncockerill.com,https://news.google.com/rss/articles/CBMimAFBVV95cUxOYWhzdjdOTS1scDR4azVuN0JiaHM1bm5FNTdGUlczOHgzYkwtNzZtVEhFY3VBRld1bWVPOTB0OXA1bHY4Z2l1UHNKbS1rLXlmNmNnbnV6eGxuUWRoYWw5X2FrMkJnV0g0Q1V2a3BVeHBTUTk0d2RRN29iNHdYaEFlVHQ2VXVITWVJZUlpSmgyTHhYdXNRWDhROA?oc=5,62.6,rss
2026-09-01,British Steel,,Belirsiz,Sozlesme,Primetals,,,Primetals to supply furnace roof to British Steel,Bing News,https://www.steeltimesint.com/news/primetals-to-supply-furnace-roof-to-british-steel,52.0,rss
2026-08-24,NS-SUS,,Bobin tasima / paketleme,Belirsiz,Danieli,,,NS-SUS Completes Installation of New Danieli Coil-Handling Cranes,AIST Association for Iron & Steel Technology,https://news.google.com/rss/articles/CBMijwFBVV95cUxNejhtT3VSU2JqekN5bVh3bnhHdmFMbEtfWmxzQ0hFNXFhV2U5TklNWkhsbXYwQ3JnWEpNOGNyS2ZHRGZjYzViWmtDSEpZZnFiMDUxdktCWnpIWGJtNXNEaDNMUE5zRzIzNFFGZkRQc0RjNjdxOS15d0JpT2o2SFMyaUU4c0xMSU5QdG11YW14UQ?oc=5,22.8,rss
2026-08-14,Manaksia Steel,Hindistan,Belirsiz,Belirsiz,,,$84 million,India's Manaksia Steel to invest $84 million to expand value-added flats capacities,SteelOrbis,https://www.steelorbis.com/steel-news/latest-news/indias-manaksia-steel-to-invest-84-million-to-expand-value-added-flats-capacities-1470867.htm,-7.0,json-ld
2026-07-13,Gazoldo,Turkiye,Asitleme hatti,Modernizasyon,,,,Marcegaglia upgrades pickling line at Gazoldo degli Ippoliti stainless steel plant,Mesteel,https://news.mesteel.com/marcegaglia-upgrades-pickling-line-at-gazoldo-degli-ippoliti-stainless-steel-plant/,,meta:datepublished
2026-05-20,India’s JIL,Hindistan,Boyama hatti (CCL),Ilk urun,,,$155 million,India’s JIL commissions continuous color coating line completing $155 million capex program,SteelOrbis,https://www.steelorbis.com/steel-news/latest-news/indias-jil-commissions-continuous-color-coating-line-completing-155-million-capex-program-1454553.htm,,json-ld
