tarih,firma,ulke,hat,asama,tedarikci,kapasite,tutar,baslik,kaynak,url,puan,tarih_kaynagi
2026-08-11,11 Aug Free KG Steel,Turkiye,Tandem soguk hadde (TCM),Modernizasyon,Primetals,,,11 Aug Free KG Steel selects Primetals for Dangjin PLTCM upgrade and capacity expansion,SteelOrbis,https://www.steelorbis.com/steel-news/latest-news/kg-steel-selects-primetals-for-dangjin-pltcm-upgrade-and-capacity-expansion-1470187.htm,60.6,json-ld
2026-08-11,KG Steel,G. Kore,Tandem soguk hadde (TCM),Modernizasyon,Primetals,,,KG Steel Selects Primetals Technologies for PLTCM Revamp,Primetals Technologies,https://www.primetals.com/en/news/kg-steel-selects-primetals-technologies-for-pltcm-modernization-in-dangjin-korea/,52.6,metin
2026-08-11,KG Steel,,Tandem soguk hadde (TCM),Modernizasyon,Primetals,,,KG Steel selects Primetals for Dangjin PLTCM upgrade and capacity expansion,SteelOrbis,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPTzBDNXBHbG12c0FwRUdCMUpMRVAtaFZUMkI4b2lzaTV1TzVicDNDelZjRjF2RDNNNERoaS1hQkxsSGhxb0NxM2V2Uzd0RFJ3Mm9OLVh5Y2dvbkhTTUdDWGlVN2I1NG9KM05lZWNDN3hBZ2dtUzdVbVphTGQxeG53akhyeWoya3JncjJrTy1FNkhKLUlGOU5COXZTZWRRa2xFQjhZOXZvYkRfSHZYZlJWU2ZUZG1uclNwQzRtbnMyVFUwWjNUV1ZySWxrektuWGJnUGpN?oc=5,49.6,rss
