tarih,firma,ulke,hat,asama,tedarikci,kapasite,tutar,baslik,kaynak,url,puan,tarih_kaynagi
2026-08-30,USSK,Turkiye,Elektrik celigi hatti,Sozlesme,Tenova,,,USSK orders new electrical steel plant from Tenova,Bing News,https://www.kallanish.com/en/news/steel/market-reports/article-details/ussk-orders-new-electrical-steel-plant-tenova-0619/,70.8,rss
2026-09-03,Primetals,,Tandem soguk hadde (TCM),Sozlesme,Primetals,,,Primetals secures PLTCM automation order,Steel Times International,https://news.google.com/rss/articles/CBMigAFBVV95cUxOVFV4U0VJZ0hYZUVGOGQzMkc0TnZyX3BRa3JaYVVqejZ4dW42SEhGNlItT1FZcHIzUUxrejJMai1zUDhGMXhHUFdPZktOWnZyQkhpODJzVnJMN2xNaDFDRXpPd1ZKREhZN1hld2NRTGtGLW43NWxLRkRsYzZQelUwcw?oc=5,60.4,rss
2026-09-02,Metallus,,Belirsiz,Ilk urun,,,,Metallus Commissions Furnaces for Defense Steel Production,Heat Treat Today,https://www.heattreattoday.com/metallus-commissions-furnaces-for-defense-steel-production/,42.0,json-ld
2026-09-01,Xinyu Steel,,Elektrik celigi hatti,Belirsiz,,,,"Xinyu Steel, elektrik çeliği üretim kapasitesini 250 bin tona çıkardı",SteelRadar,https://news.google.com/rss/articles/CBMipAFBVV95cUxOUERkVDlfM1NRTG81c0RlSHZWWksxRGx1MEVaN3lReHNxaTdRcEllaUdCZjVBZWFLeWhWc1dvcnU2aVNuLUIxVVRtaXgwRFlEeTN3ckRiZTZjbnd2SnlrNjNjSUx5MUszMi03TkJ3bFByMklzWS1BRVJ3clh4YncwTjhKX2ZNQ0MwUUc2QlAzNDNxVng5U0hfakIyVkk4YzVxNm54NQ?oc=5,3.6,rss
2026-09-02,Konya'da,,Soguk hadde,Belirsiz,,,,"Konya'da 430 milyon dolarlık çifte yatırım: Haddehane gün sayıyor, yeni hat geliyor",Bing News,https://www.yenihaberden.com/konya-da-430-milyon-dolarlik-cifte-yatirim-haddehane-gun-sayiyor-yeni-hat-geliyor/1859098/,2.6,rss
2026-09-01,ArcelorMittal Brasil,,Soguk hadde,Belirsiz,,,,ArcelorMittal Brasil to invest in new cold rolling mill and coating lines,SteelOrbis,https://www.steelorbis.com/steel-news/latest-news/arcelormittal-brasil-to-invest-in-new-cold-rolling-mill-and-coating-lines-1474267.htm,3.0,json-ld
