tarih,firma,ulke,hat,asama,tedarikci,kapasite,tutar,baslik,kaynak,url,puan,tarih_kaynagi
2026-08-25,JSW Steel,Hindistan,Galvaniz hatti (CGL),Sozlesme,Andritz,,,"JSW Steel, India, orders ANDRITZ galvanizing line for advanced automotive steels",Andritz Metals,https://www.andritz.com/newsroom-en/metals/2026-08-25-jsw-steel-group,63.4,url
2026-08-28,Fives / Xinyu,Çin,Elektrik celigi hatti,Sozlesme,Fives,,,Fives supplies technologies for Xinyu's new electrical steel facility,SteelOrbis,https://www.steelorbis.com/steel-news/latest-news/fives-supplies-technologies-for-xinyus-new-electrical-steel-facility-1473583.htm,60.6,json-ld
2026-08-26,Sanbao Grubu,Çin,Elektrik celigi hatti,Ilk urun,,,,三宝集团SACL3#新能源高牌号无取向硅钢退火炉顺利投产,Mysteel (tesis/proje),https://factory.mysteel.com/a/26082617/6E2F124F6AC1DDCB.html,53.8,json-ld
2026-08-25,Roofings Group,Uganda,Soguk hadde,Ilk urun,Danieli,300.000 t/y,$125m,"Roofings Unveils $125m Steel Mill, Doubles Cold-Rolled Capacity to 300,000 Tonnes",SoftPower News,https://softpower.ug/roofings-unveils-125m-steel-mill-doubles-cold-rolled-capacity-to-300000-tonnes/,30.4,rss
2026-08-11,KG Steel,G. Kore,Tandem soguk hadde (TCM),Modernizasyon,Primetals,,,KG Steel selects Primetals for Dangjin PLTCM upgrade and capacity expansion,SteelOrbis,https://www.steelorbis.com/steel-news/latest-news/kg-steel-selects-primetals-for-dangjin-pltcm-upgrade-and-capacity-expansion-1470187.htm,44.8,json-ld
2026-07-29,Tosyalı Algérie,Cezayir,Soguk hadde,Ilk urun,,,,"TOSYALI ALGÉRİE, SOĞUK HADDELEME KOMPLEKSİNDE İLK ÜRETİMİ YAPTI",SteelTurk,https://www.steelturk.com.tr/tosyali-algérie-soguk-haddeleme-kompleksinde-ilk-uretimi-yapti/,,liste
