tarih,firma,ulke,hat,asama,tedarikci,kapasite,tutar,baslik,kaynak,url,puan,tarih_kaynagi
2026-08-17,Jindal Stainless Limited,Hindistan,Soguk hadde,Ilk urun,,,$94 million,India's Jindal Stainless Limited to invest $94 million to ramp up cold rolling capacity,SteelOrbis,https://www.steelorbis.com/steel-news/latest-news/indias-jindal-stainless-limited-to-invest-94-million-to-ramp-up-cold-rolling-capacity-1471127.htm,59.0,json-ld
2026-08-05,,,Dilme / boy kesme / SSC,Ilk urun,,,,tk accelis announces milestone at Stuttgart steel service center,SteelOrbis,https://www.steelorbis.com/steel-news/latest-news/tk-accelis-announces-milestone-at-stuttgart-steel-service-center-1469079.htm,39.2,json-ld
2026-08-05,Hoa Binh,,Belirsiz,Ilk urun,,,,Hoa Binh and Pomina Steel partner on 1.2 million mt flat steel plant expansion,SteelOrbis,https://www.steelorbis.com/steel-news/latest-news/hoa-binh-and-pomina-steel-partner-on-12-million-mt-flat-steel-plant-expansion-1469094.htm,14.2,json-ld
