tarih,firma,ulke,hat,asama,tedarikci,kapasite,tutar,baslik,kaynak,url,puan,tarih_kaynagi
2026-08-30,USSK,Turkiye,Elektrik celigi hatti,Sozlesme,Tenova,,,USSK orders new electrical steel plant from Tenova,Bing News,https://www.kallanish.com/en/news/steel/market-reports/article-details/ussk-orders-new-electrical-steel-plant-tenova-0619/,68.0,rss
2026-08-31,John Cockerill,Tanzanya,Soguk hadde,Sozlesme,John Cockerill,,Rs 200,John Cockerill rises after bagging Rs 200-cr order from A1 Iron & Steel Tanzania,Bing News,https://www.msn.com/en-in/news/other/john-cockerill-rises-after-bagging-rs-200-cr-order-from-a1-iron-steel-tanzania/ar-AA2bezOs,61.4,rss
2026-09-03,Primetals,,Tandem soguk hadde (TCM),Sozlesme,Primetals,,,Primetals secures PLTCM automation order,Bing News,https://www.steeltimesint.com/news/primetals-secures-pltcm-automation-order,57.6,rss
2026-09-08,POSCO,,Galvaniz hatti (CGL),Sozlesme,,,,POSCO Invests 480 Billion Won in New Auto Steel Coating Plant,Bing News,https://en.sedaily.com/finance/2026/09/08/posco-invests-480-billion-won-in-new-auto-steel-plant,53.6,rss
2026-09-07,Posco,,Galvaniz hatti (CGL),Insaat,,,$354 million,"Posco breaks ground on first new auto-steel coating line in 9 years, investing W480b in Gwangyang",Bing News,https://biz.heraldcorp.com/article/10865917,49.2,rss
2026-09-14,,Malezya,Asitleme hatti,Modernizasyon,,,,[Rizhao Steel No.7 Pickling and Rolling Line Upgrade and Transformation],SMM (Shanghai Metals),https://news.metal.com/en/newscontent/104112659-rizhao-steel-no7-pickling-and-rolling-line-upgrade-and-transformation,41.0,metin
2026-09-10,Hyundai Steel,,Soguk hadde,Belirsiz,,,$5.8 billion,Hyundai Steel plans to open steel plant in Louisiana,Bing News,https://www.plantservices.com/industry-news/news/55404410/hyundai-steel-plans-to-open-steel-plant-in-louisiana,30.4,rss
